Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413222336,2601405.6066,1144078.3799,1113.6281,111.2087 g,84.4484 g,140.2606,136.0957,,14.09.2022 13:22:23
3_TS091413222251,2601405.6144,1144078.3785,1113.6301,111.2087 g,84.4484 g,140.2687,136.1036,,14.09.2022 13:22:23
3_TS091413222199,2601405.6192,1144078.3776,1113.6313,111.2087 g,84.4484 g,140.2738,136.1085,,14.09.2022 13:22:22
3_TS091413222111,2601405.6180,1144078.3779,1113.6310,111.2087 g,84.4484 g,140.2725,136.1073,,14.09.2022 13:22:21
3_TS091413222037,2601405.6170,1144078.3781,1113.6308,111.2087 g,84.4484 g,140.2715,136.1063,,14.09.2022 13:22:20
3_TS091413221922,2601405.6028,1144078.3806,1113.6271,111.2087 g,84.4484 g,140.2566,136.0918,,14.09.2022 13:22:19
3_TS091413221851,2601405.6010,1144078.3809,1113.6266,111.2087 g,84.4484 g,140.2547,136.0900,,14.09.2022 13:22:19
3_TS091413221824,2601405.6060,1144078.3801,1113.6279,111.2087 g,84.4484 g,140.2599,136.0950,,14.09.2022 13:22:18
3_TS091413221808,2601405.6130,1144078.3788,1113.6298,111.2087 g,84.4483 g,140.2673,136.1022,,14.09.2022 13:22:18
3_TS091413221628,2601405.6196,1144078.3776,1113.6315,111.2087 g,84.4483 g,140.2742,136.1089,,14.09.2022 13:22:16
3_TS091413221549,2601405.6204,1144078.3775,1113.6317,111.2087 g,84.4483 g,140.2750,136.1097,,14.09.2022 13:22:15
3_TS091413221486,2601405.6191,1144078.3777,1113.6314,111.2087 g,84.4483 g,140.2737,136.1084,,14.09.2022 13:22:15
3_TS091413221410,2601405.6138,1144078.3786,1113.6301,111.2087 g,84.4483 g,140.2681,136.1029,,14.09.2022 13:22:14
3_TS091413221338,2601405.6065,1144078.3800,1113.6282,111.2087 g,84.4483 g,140.2605,136.0956,,14.09.2022 13:22:13
3_TS091413221268,2601405.6046,1144078.3803,1113.6277,111.2087 g,84.4483 g,140.2585,136.0936,,14.09.2022 13:22:13
3_TS091413221191,2601405.6072,1144078.3798,1113.6283,111.2087 g,84.4483 g,140.2612,136.0963,,14.09.2022 13:22:12
3_TS091413221113,2601405.6112,1144078.3791,1113.6292,111.2087 g,84.4484 g,140.2654,136.1004,,14.09.2022 13:22:11
3_TS091413221034,2601405.6205,1144078.3775,1113.6316,111.2087 g,84.4484 g,140.2751,136.1098,,14.09.2022 13:22:10
3_TS091413220971,2601405.6272,1144078.3763,1113.6332,111.2087 g,84.4484 g,140.2821,136.1166,,14.09.2022 13:22:10
3_TS091413220896,2601405.6198,1144078.3777,1113.6313,111.2087 g,84.4484 g,140.2743,136.1090,,14.09.2022 13:22:09
3_TS091413220852,2601405.6149,1144078.3786,1113.6300,111.2087 g,84.4485 g,140.2692,136.1041,,14.09.2022 13:22:09
3_TS091413220754,2601405.6043,1144078.3805,1113.6275,111.2087 g,84.4484 g,140.2581,136.0933,,14.09.2022 13:22:08
3_TS091413220634,2601405.6058,1144078.3802,1113.6278,111.2087 g,84.4484 g,140.2597,136.0949,,14.09.2022 13:22:06
3_TS091413220569,2601405.6047,1144078.3804,1113.6275,111.2087 g,84.4484 g,140.2585,136.0937,,14.09.2022 13:22:06
3_TS091413220497,2601405.6195,1144078.3778,1113.6313,111.2087 g,84.4484 g,140.2740,136.1087,,14.09.2022 13:22:05
3_TS091413220433,2601405.6180,1144078.3780,1113.6310,111.2086 g,84.4484 g,140.2725,136.1073,,14.09.2022 13:22:04
3_TS091413220367,2601405.6188,1144078.3780,1113.6311,111.2086 g,84.4484 g,140.2733,136.1081,,14.09.2022 13:22:04
3_TS091413220312,2601405.6124,1144078.3791,1113.6295,111.2086 g,84.4484 g,140.2666,136.1015,,14.09.2022 13:22:03
3_TS091413220236,2601405.6087,1144078.3797,1113.6286,111.2087 g,84.4484 g,140.2627,136.0977,,14.09.2022 13:22:02
3_TS091413220073,2601405.5945,1144078.3822,1113.6249,111.2086 g,84.4484 g,140.2479,136.0834,,14.09.2022 13:22:01
3_TS091413215998,2601405.5917,1144078.3828,1113.6242,111.2086 g,84.4484 g,140.2449,136.0805,,14.09.2022 13:22:00
3_TS091413215930,2601405.6048,1144078.3804,1113.6276,111.2087 g,84.4484 g,140.2586,136.0938,,14.09.2022 13:21:59
3_TS091413215847,2601405.6154,1144078.3785,1113.6303,111.2086 g,84.4484 g,140.2698,136.1046,,14.09.2022 13:21:58
3_TS091413215771,2601405.6135,1144078.3789,1113.6299,111.2086 g,84.4484 g,140.2678,136.1027,,14.09.2022 13:21:58
3_TS091413215704,2601405.6097,1144078.3795,1113.6289,111.2087 g,84.4484 g,140.2638,136.0988,,14.09.2022 13:21:57
3_TS091413215641,2601405.6014,1144078.3809,1113.6270,111.2087 g,84.4483 g,140.2552,136.0904,,14.09.2022 13:21:56
3_TS091413215556,2601405.5979,1144078.3816,1113.6258,111.2087 g,84.4484 g,140.2514,136.0868,,14.09.2022 13:21:56
3_TS091413215475,2601405.5980,1144078.3816,1113.6260,111.2087 g,84.4483 g,140.2516,136.0869,,14.09.2022 13:21:55
3_TS091413215370,2601405.5991,1144078.3814,1113.6263,111.2087 g,84.4483 g,140.2527,136.0880,,14.09.2022 13:21:54
3_TS091413215296,2601405.6053,1144078.3803,1113.6278,111.2087 g,84.4484 g,140.2592,136.0943,,14.09.2022 13:21:53
3_TS091413215215,2601405.6109,1144078.3793,1113.6293,111.2087 g,84.4483 g,140.2651,136.1001,,14.09.2022 13:21:52
3_TS091413215162,2601405.6096,1144078.3795,1113.6288,111.2087 g,84.4484 g,140.2637,136.0987,,14.09.2022 13:21:52
3_TS091413215072,2601405.6046,1144078.3805,1113.6274,111.2086 g,84.4485 g,140.2584,136.0936,,14.09.2022 13:21:51
3_TS091413215004,2601405.5981,1144078.3817,1113.6257,111.2086 g,84.4485 g,140.2516,136.0870,,14.09.2022 13:21:50
3_TS091413214933,2601405.5949,1144078.3823,1113.6250,111.2086 g,84.4484 g,140.2482,136.0837,,14.09.2022 13:21:49
3_TS091413214854,2601405.5918,1144078.3828,1113.6239,111.2086 g,84.4486 g,140.2449,136.0806,,14.09.2022 13:21:49
